"ACCOUNT_NUM","APPRAISAL_YR","TIF_ZONE_DESC","EFFECTIVE_YR","EXPIRATION_YR","ACCT_MKT","CITY_PCT","CITY_BASE_MKT","CITY_BASE_TAXABLE","CITY_ACCT_TAXABLE","CNTY_PCT","CNTY_BASE_MKT","CNTY_BASE_TAXABLE","CNTY_ACCT_TAXABLE","ISD_PCT","ISD_BASE_MKT","ISD_BASE_TAXABLE","ISD_ACCT_TAXABLE","HOSP_PCT","HOSP_BASE_MKT","HOSP_BASE_TAXABLE","HOSP_ACCT_TAXABLE","COLL_PCT","COLL_BASE_MKT","COLL_BASE_TAXABLE","COLL_ACCT_TAXABLE","SPEC_PCT","SPEC_BASE_MKT","SPEC_BASE_TAXABLE","SPEC_ACCT_TAXABLE"
"00000267697000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","357530.00",".550000","83420.00",".00","0",".550000","83420.00",".00","0",".000000","83420.00",".00","0",".000000","83420.00",".00","0",".000000","83420.00",".00","0",".000000","83420.00",".00","0"
"00000267745000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","379860.00",".550000","78060.00","78060.00","0",".550000","78060.00","78060.00","0",".000000",".00",".00","0",".000000",".00",".00","0",".000000",".00",".00","0",".000000",".00",".00","0"
"00000298678000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","32140.00",".550000","6430.00","6430.00","32140",".550000","6430.00","6430.00","32140",".000000",".00",".00","32140",".000000",".00",".00","32140",".000000",".00",".00","32140",".000000",".00",".00","0"
"00000298681000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","20000.00",".550000","5900.00","5900.00","20000",".550000","5900.00","5900.00","20000",".000000",".00",".00","20000",".000000",".00",".00","20000",".000000",".00",".00","20000",".000000",".00",".00","0"
"00000298705000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","90810.00",".550000","53350.00","53350.00","90810",".550000","53350.00","53350.00","90810",".000000",".00",".00","90810",".000000",".00",".00","90810",".000000",".00",".00","90810",".000000",".00",".00","0"
"00000299662000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","77000.00",".550000","25810.00","25810.00","77000",".550000","25810.00","25810.00","77000",".000000","25810.00","25810.00","77000",".000000","25810.00","25810.00","77000",".000000","25810.00","25810.00","77000",".000000","25810.00",".00","0"
"00000299680000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","105960.00",".550000","82930.00","82930.00","105960",".550000","82930.00","82930.00","105960",".000000","82930.00","82930.00","105960",".000000","82930.00","82930.00","105960",".000000","82930.00","82930.00","105960",".000000","82930.00",".00","0"
"00000299779000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","111040.00",".550000","99000.00","99000.00","42425",".550000","99000.00","99000.00","42425",".000000",".00",".00","22728",".000000",".00",".00","42425",".000000",".00",".00","42425",".000000",".00",".00","0"
"00000299968000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","113570.00",".550000","81590.00","81590.00","113570",".550000","81590.00","81590.00","113570",".000000",".00",".00","113570",".000000",".00",".00","113570",".000000",".00",".00","113570",".000000",".00",".00","0"
"00000298654000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","73690.00",".550000","11800.00","11800.00","73690",".550000","11800.00","11800.00","73690",".000000",".00",".00","73690",".000000",".00",".00","73690",".000000",".00",".00","73690",".000000",".00",".00","0"
"00000298669000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","77310.00",".550000","15460.00","15460.00","77310",".550000","15460.00","15460.00","77310",".000000","15460.00","15460.00","77310",".000000","15460.00","15460.00","77310",".000000","15460.00","15460.00","77310",".000000","15460.00",".00","0"
"00000298780000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","265790.00",".550000","134210.00","134210.00","265790",".550000","134210.00","134210.00","265790",".000000",".00",".00","265790",".000000",".00",".00","265790",".000000",".00",".00","265790",".000000",".00",".00","0"
"00000299665000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","92250.00",".550000","77410.00","77410.00","92250",".550000","77410.00","77410.00","92250",".000000",".00",".00","92250",".000000",".00",".00","92250",".000000",".00",".00","92250",".000000",".00",".00","0"
"00000299869000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","155300.00",".550000","23300.00","23300.00","155300",".550000","23300.00","23300.00","155300",".000000",".00",".00","155300",".000000",".00",".00","155300",".000000",".00",".00","155300",".000000",".00",".00","0"
"00000299944000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","118910.00",".550000","102540.00","102540.00","118910",".550000","102540.00","102540.00","118910",".000000",".00",".00","118910",".000000",".00",".00","118910",".000000",".00",".00","118910",".000000",".00",".00","0"
"00000300040000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","57000.00",".550000","11400.00","11400.00","57000",".550000","11400.00","11400.00","57000",".000000",".00",".00","57000",".000000",".00",".00","57000",".000000",".00",".00","57000",".000000",".00",".00","0"
"00000300073000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","59520.00",".550000","38950.00","29213.00","0",".550000","38950.00","29213.00","0",".000000","38950.00","29213.00","0",".000000","38950.00","29213.00","0",".000000","38950.00","29213.00","0",".000000","38950.00",".00","0"
"00000267733000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","280350.00",".550000","118520.00","118520.00","280350",".550000","118520.00","118520.00","280350",".000000",".00",".00","280350",".000000",".00",".00","280350",".000000",".00",".00","280350",".000000",".00",".00","0"
"00000298651000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","85620.00",".550000","46100.00","36880.00","53311",".550000","46100.00","36880.00","53311",".000000",".00",".00","34975",".000000",".00",".00","53311",".000000",".00",".00","53311",".000000",".00",".00","0"
"00000298675000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","323520.00",".550000","270830.00","270830.00","323520",".550000","270830.00","270830.00","323520",".000000",".00",".00","323520",".000000",".00",".00","323520",".000000",".00",".00","323520",".000000",".00",".00","0"
"00000299626000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","362760.00",".550000","67830.00","67830.00","362760",".550000","67830.00","67830.00","362760",".000000","67830.00","67830.00","362760",".000000","67830.00","67830.00","362760",".000000","67830.00","67830.00","362760",".000000","67830.00",".00","0"
"00000299629000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","315020.00",".550000","249510.00","249510.00","315020",".550000","249510.00","249510.00","315020",".000000",".00",".00","315020",".000000",".00",".00","315020",".000000",".00",".00","315020",".000000",".00",".00","0"
"00000299725000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","328410.00",".550000","116230.00","116230.00","328410",".550000","116230.00","116230.00","328410",".000000",".00",".00","328410",".000000",".00",".00","328410",".000000",".00",".00","328410",".000000",".00",".00","0"
"00000299776000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","125960.00",".550000","76490.00","76490.00","125960",".550000","76490.00","76490.00","125960",".000000",".00",".00","125960",".000000",".00",".00","125960",".000000",".00",".00","125960",".000000",".00",".00","0"
"00000300001000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","52080.00",".550000","33350.00","33350.00","52080",".550000","33350.00","33350.00","52080",".000000",".00",".00","52080",".000000",".00",".00","52080",".000000",".00",".00","52080",".000000",".00",".00","0"
"00000300178000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","323290.00",".550000","38140.00","30512.00","0",".550000","38140.00","30512.00","0",".000000",".00",".00","0",".000000",".00",".00","0",".000000",".00",".00","0",".000000",".00",".00","0"
"00000267694000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","224980.00",".550000","73500.00","73500.00","224980",".550000","73500.00","73500.00","224980",".000000","73500.00","73500.00","224980",".000000","73500.00","73500.00","224980",".000000","73500.00","73500.00","224980",".000000","73500.00",".00","0"
"00000267721000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","483000.00",".550000","338100.00","338100.00","483000",".550000","338100.00","338100.00","483000",".000000",".00",".00","483000",".000000",".00",".00","483000",".000000",".00",".00","483000",".000000",".00",".00","0"
"00000267724000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","366130.00",".550000","231950.00","231950.00","366130",".550000","231950.00","231950.00","366130",".000000",".00",".00","366130",".000000",".00",".00","366130",".000000",".00",".00","366130",".000000",".00",".00","0"
"00000298633000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","50000.00",".550000","12500.00","12500.00","50000",".550000","12500.00","12500.00","50000",".000000",".00",".00","50000",".000000",".00",".00","50000",".000000",".00",".00","50000",".000000",".00",".00","0"
"00000299860000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","1231130.00",".550000","364140.00","364140.00","1231130",".550000","364140.00","364140.00","1231130",".000000",".00",".00","1231130",".000000",".00",".00","1231130",".000000",".00",".00","1231130",".000000",".00",".00","0"
"00000299872000000","2019","FORT WORTH AVENUE - DALLAS","2008","2029","155300.00",".550000","23300.00","23300.00","155300",".550000","23300.00","23300.00","155300",".000000",".00",".00","155300",".000000",".00",".00","155300",".000000",".00",".00","155300",".000000",".00",".00","0"
