"ACCOUNT_NUM","APPRAISAL_YR"
"00000100015500000","2019"
"00000101154000000","2019"
"00000102778000000","2019"
"00000105112009900","2019"
"00000218638000000","2019"
"00000218899000000","2019"
"00000219013000000","2019"
"00000219175000000","2019"
"00000219310000000","2019"
"00000219391000000","2019"
"00000219418000000","2019"
"00000219913000000","2019"
"00000220066000000","2019"
"00000220855000000","2019"
"00000220966000000","2019"
"00000121639000000","2019"
"00000122302000000","2019"
"00000123724500000","2019"
"00000125290000000","2019"
"00000125650000000","2019"
"00000248950000000","2019"
"00000249064000000","2019"
"00000249658000000","2019"
"00000249953000000","2019"
"00000249972000000","2019"
"00000249985000000","2019"
"00000251017000000","2019"
"00000251035000000","2019"
"00000253375000000","2019"
"00000105757000000","2019"
"00000106033500000","2019"
"00000107623000000","2019"
"00000107632000000","2019"
"00000107653000000","2019"
"00000109147000000","2019"
"00000109228000000","2019"
"00000109360009600","2019"
"00000109371000000","2019"
"00000133969000000","2019"
"00000134095000000","2019"
"00000135454000000","2019"
"00000137509000000","2019"
"00000137663600000","2019"
"00000138127000000","2019"
"00000138394000000","2019"
"00000138895000000","2019"
"00000139414000000","2019"
"00000139624000000","2019"
"00000140569000000","2019"
"00000140818109600","2019"
"00000141607000000","2019"
"00000141730000000","2019"
"00000167200000000","2019"
"00000167215000000","2019"
"00000167617000000","2019"
"00000171115000000","2019"
"00000171739000000","2019"
"00000172255000000","2019"
"00000259435000000","2019"
"00000111259000000","2019"
"00000111271000000","2019"
"00000111322000000","2019"
"00000112360000000","2019"
"00000112369000000","2019"
"00000114742000000","2019"
"00000114835000000","2019"
"00000114895000000","2019"
"00000127810000000","2019"
"00000128119000000","2019"
"00000129166000000","2019"
"00000129178000000","2019"
"00000130114000000","2019"
"00000130141000000","2019"
"00000215260000100","2019"
"00000215278000000","2019"
"00000215725000000","2019"
"00000216466000000","2019"
"00000178171000000","2019"
"00000178564000000","2019"
"00000178909000000","2019"
"00000179452000000","2019"
"00000179584000000","2019"
"00000179755000000","2019"
"00000180391000000","2019"
"00000180637000000","2019"
"00000181156000000","2019"
"00000181447000000","2019"
"00000184387000000","2019"
"00000319069000000","2019"
"00000319129000000","2019"
"00000146635000000","2019"
"00000147772000000","2019"
"00000149533000000","2019"
"00000150775000000","2019"
"00000198217000000","2019"
"00000200182000000","2019"
"00000207445000000","2019"
"00000207484000000","2019"
"00000207490000000","2019"
"00000207586000000","2019"
"00000278521000000","2019"
"00000291952000000","2019"
"00000293677000000","2019"
"00000294997500000","2019"
"00000216472000000","2019"
"00000216532000000","2019"
"00000216721000000","2019"
"00000359311000100","2019"
"00000363649000000","2019"
"00000363706000000","2019"
"00000363757000100","2019"
"00000366292000000","2019"
"00000366733000000","2019"
"00000367723000000","2019"
"00000425395000000","2019"
"00000115444000000","2019"
"00000115771000000","2019"
"00000115918000000","2019"
"00000116560000000","2019"
"00000119875000000","2019"
"00000279502000000","2019"
"00000283123000000","2019"
"00000283495000000","2019"
"00000283579000000","2019"
"00000331642000000","2019"
"00000333088000000","2019"
"00000333604000000","2019"
"00000333616000000","2019"
"00000335308000000","2019"
"00000335683000000","2019"
"00000336031000000","2019"
"00000336779000000","2019"
"00000338941000000","2019"
"00000473928000000","2019"
"00000473976000000","2019"
"00000474003000000","2019"
"00000267676000000","2019"
"00000267751000000","2019"
"00000267820000000","2019"
"00000268210000000","2019"
"00000268975000000","2019"
"00000367943000000","2019"
"00000229873000100","2019"
"00000299368000000","2019"
"00000299687000000","2019"
"0000030026800TE00","2019"
"00000303199000000","2019"
"00000304636000000","2019"
"00000141736530000","2019"
"00000141877000000","2019"
"00000144385000000","2019"
"00000145207000000","2019"
"00000145210000000","2019"
"00000350428000000","2019"
"00000351322000000","2019"
"00000357396100200","2019"
"00000358209000000","2019"
"00000358234000000","2019"
"00000457138000000","2019"
"00000457306000000","2019"
"00000162112000000","2019"
"00000162751000000","2019"
"00000344221000000","2019"
"00000132619500000","2019"
"00000133327000000","2019"
"00000133351000000","2019"
"00000403752520000","2019"
"00000448216000000","2019"
"00000448228000000","2019"
"00000448375000000","2019"
"00000449143000000","2019"
"00000449461000000","2019"
"00000173707000000","2019"
"00000175513000000","2019"
"00000176221000000","2019"
"00000176458000000","2019"
"00000176500000000","2019"
"00000380002000000","2019"
"00000256087000000","2019"
"00000438298000000","2019"
"00000441178000000","2019"
"00000222415000000","2019"
"00000222562000000","2019"
"00000222577000000","2019"
"00000222583000000","2019"
"00000223714000000","2019"
"00000224122000000","2019"
"00000224272000000","2019"
"00000224887000000","2019"
"00000226513000000","2019"
"00000395743000100","2019"
"00000239866000000","2019"
"00000241792000000","2019"
"00000310777000000","2019"
"00000315454000000","2019"
"00000315901000000","2019"
"00000153490000000","2019"
"00000153532000000","2019"
"00000153595000000","2019"
"00000155291000000","2019"
"00000418414000000","2019"
"00000516454180000","2019"
"00000457432000000","2019"
"00000457726000000","2019"
"00000457867000000","2019"
"00000458161000000","2019"
"00000458203000000","2019"
"00000458314000000","2019"
"00000458824000000","2019"
"00000295033000000","2019"
"00000497407000000","2019"
"00000497728000000","2019"
"00000502648000000","2019"
"00000490180000000","2019"
"00000642136000000","2019"
"00000643102000000","2019"
"00000643339000000","2019"
"00000643600000000","2019"
"00000643678000000","2019"
"00000429731500000","2019"
"00000430354000000","2019"
"00000430639000000","2019"
"00000430673100000","2019"
"00000433867500000","2019"
"00000433900000000","2019"
"00000433990000000","2019"
"00000434206000000","2019"
"00000434230000000","2019"
"00000434236000000","2019"
"00000565003000000","2019"
"00000414745000000","2019"
"00000480808000000","2019"
"00000481591500000","2019"
"00000482923000000","2019"
"00000482947000000","2019"
"00000347242000000","2019"
"00000348871000000","2019"
"00000526474000000","2019"
"00000526567000000","2019"
"00000526573000000","2019"
"00000527664000100","2019"
"00000527664850000","2019"
"00000531912350000","2019"
"00000542062000000","2019"
"00000542944000000","2019"
"00000545062500000","2019"
"00000549280000000","2019"
"00000549595000000","2019"
"00000618874000000","2019"
"00000618958000000","2019"
"00000618997000000","2019"
"00000619009000000","2019"
"00000619012000000","2019"
"00000619015000000","2019"
